Source,Target,Label,Weight
Ras Al Khaimah,Switzerland,Ras Al Khaimah,1
Samoa,Andorra,Samoa,9
Samoa,Bahamas,Samoa,27
Samoa,Belgium,Samoa,1
Samoa,Belize,Samoa,45
Samoa,Brazil,Samoa,43
Samoa,Cayman Islands,Samoa,853
Samoa,China,Samoa,363
Samoa,Colombia,Samoa,6
Samoa,Cook Islands,Samoa,1
Samoa,Costa Rica,Samoa,2
Samoa,Cyprus,Samoa,5
Samoa,Czech Republic,Samoa,1
Samoa,Côte d'Ivoire,Samoa,2
Samoa,Dominican Republic,Samoa,1
Samoa,Ecuador,Samoa,20
Samoa,Estonia,Samoa,3
Samoa,France,Samoa,3
Samoa,Gibraltar,Samoa,14
Samoa,Guatemala,Samoa,16
Samoa,Guernsey,Samoa,19
Samoa,Hong Kong,Samoa,3012
Samoa,Hungary,Samoa,1
Samoa,Indonesia,Samoa,2
Samoa,Ireland,Samoa,11
Samoa,Isle of Man,Samoa,70
Samoa,Israel,Samoa,47
Samoa,Italy,Samoa,3
Samoa,Jersey,Samoa,17
Samoa,Lebanon,Samoa,12
Samoa,Liechtenstein,Samoa,32
Samoa,Luxembourg,Samoa,13
Samoa,Malaysia,Samoa,1
Samoa,Mauritius,Samoa,9
Samoa,Monaco,Samoa,20
Samoa,Netherlands,Samoa,3
Samoa,New Zealand,Samoa,3
Samoa,Not identified,Samoa,6
Samoa,Panama,Samoa,410
Samoa,Poland,Samoa,1
Samoa,Portugal,Samoa,10
Samoa,Russian Federation,Samoa,5
Samoa,Samoa,Samoa,8249
Samoa,Seychelles,Samoa,14
Samoa,Singapore,Samoa,122
Samoa,Spain,Samoa,38
Samoa,Switzerland,Samoa,545
Samoa,"Taiwan, Province of China",Samoa,265
Samoa,Thailand,Samoa,13
Samoa,Turkey,Samoa,1
Samoa,United Arab Emirates,Samoa,56
Samoa,United Kingdom,Samoa,45
Samoa,United States,Samoa,11
Samoa,Uruguay,Samoa,9
Samoa,"Venezuela, Bolivarian Republic of",Samoa,2
Seychelles,Andorra,Seychelles,72
Seychelles,Antigua and Barbuda,Seychelles,3
Seychelles,Argentina,Seychelles,6
Seychelles,Australia,Seychelles,4
Seychelles,Bahamas,Seychelles,105
Seychelles,Belgium,Seychelles,5
Seychelles,Belize,Seychelles,175
Seychelles,Botswana,Seychelles,3
Seychelles,Brazil,Seychelles,79
Seychelles,Bulgaria,Seychelles,22
Seychelles,Cameroon,Seychelles,1
Seychelles,Canada,Seychelles,17
Seychelles,Chile,Seychelles,2
Seychelles,China,Seychelles,528
Seychelles,Colombia,Seychelles,18
Seychelles,Costa Rica,Seychelles,2
Seychelles,Curaçao,Seychelles,12
Seychelles,Cyprus,Seychelles,448
Seychelles,Czech Republic,Seychelles,1
Seychelles,Denmark,Seychelles,2
Seychelles,Dominican Republic,Seychelles,11
Seychelles,Ecuador,Seychelles,26
Seychelles,Egypt,Seychelles,1
Seychelles,El Salvador,Seychelles,5
Seychelles,Estonia,Seychelles,34
Seychelles,Finland,Seychelles,4
Seychelles,France,Seychelles,14
Seychelles,Germany,Seychelles,8
Seychelles,Gibraltar,Seychelles,64
Seychelles,Greece,Seychelles,21
Seychelles,Guatemala,Seychelles,30
Seychelles,Guernsey,Seychelles,52
Seychelles,Hong Kong,Seychelles,3749
Seychelles,Hungary,Seychelles,27
Seychelles,India,Seychelles,6
Seychelles,Indonesia,Seychelles,2
Seychelles,Ireland,Seychelles,13
Seychelles,Isle of Man,Seychelles,80
Seychelles,Israel,Seychelles,122
Seychelles,Italy,Seychelles,22
Seychelles,Japan,Seychelles,1
Seychelles,Jersey,Seychelles,18
Seychelles,Jordan,Seychelles,1
Seychelles,Kenya,Seychelles,1
Seychelles,Kuwait,Seychelles,13
Seychelles,Latvia,Seychelles,1
Seychelles,Lebanon,Seychelles,88
Seychelles,Lesotho,Seychelles,1
Seychelles,Liechtenstein,Seychelles,169
Seychelles,Luxembourg,Seychelles,1420
Seychelles,Macao,Seychelles,1
Seychelles,"Macedonia, the Former Yugoslav Republic of",Seychelles,1
Seychelles,Malaysia,Seychelles,1
Seychelles,Malta,Seychelles,31
Seychelles,Mauritius,Seychelles,15
Seychelles,Mexico,Seychelles,6
Seychelles,Monaco,Seychelles,566
Seychelles,Morocco,Seychelles,18
Seychelles,Mozambique,Seychelles,2
Seychelles,Namibia,Seychelles,2
Seychelles,Netherlands,Seychelles,6
Seychelles,Nigeria,Seychelles,2
Seychelles,Niue,Seychelles,5
Seychelles,Panama,Seychelles,1273
Seychelles,Peru,Seychelles,1
Seychelles,Philippines,Seychelles,4
Seychelles,Poland,Seychelles,26
Seychelles,Qatar,Seychelles,1
Seychelles,Russian Federation,Seychelles,21
Seychelles,Saint Kitts and Nevis,Seychelles,17
Seychelles,Samoa,Seychelles,850
Seychelles,Saudi Arabia,Seychelles,1
Seychelles,Senegal,Seychelles,2
Seychelles,Seychelles,Seychelles,753
Seychelles,Singapore,Seychelles,126
Seychelles,Spain,Seychelles,38
Seychelles,Sweden,Seychelles,2
Seychelles,Switzerland,Seychelles,1630
Seychelles,"Taiwan, Province of China",Seychelles,56
Seychelles,Thailand,Seychelles,254
Seychelles,Turkey,Seychelles,2
Seychelles,Turks and Caicos Islands,Seychelles,1
Seychelles,Ukraine,Seychelles,5
Seychelles,United Arab Emirates,Seychelles,1750
Seychelles,United Kingdom,Seychelles,313
Seychelles,United States,Seychelles,68
Seychelles,Uruguay,Seychelles,176
Seychelles,"Venezuela, Bolivarian Republic of",Seychelles,24
Seychelles,"Virgin Islands, British",Seychelles,11
Singapore,Cayman Islands,Singapore,1
Singapore,Hong Kong,Singapore,3
Singapore,India,Singapore,1
Singapore,Indonesia,Singapore,3
Singapore,Japan,Singapore,1
Singapore,Malaysia,Singapore,1
Singapore,Netherlands,Singapore,1
Singapore,Singapore,Singapore,667
Singapore,Switzerland,Singapore,1
Singapore,"Taiwan, Province of China",Singapore,1
Singapore,United Kingdom,Singapore,1
St. Lucia,Saint Lucia,St. Lucia,4
St. Lucia,Singapore,St. Lucia,1
Thailand,Hong Kong,Thailand,1
Thailand,Thailand,Thailand,2
Undetermined,Andorra,Undetermined,1
Undetermined,Antigua and Barbuda,Undetermined,259
Undetermined,Australia,Undetermined,23
Undetermined,Austria,Undetermined,52
Undetermined,Bahamas,Undetermined,6
Undetermined,Barbados,Undetermined,1
Undetermined,Belarus,Undetermined,19
Undetermined,Belgium,Undetermined,2
Undetermined,Belize,Undetermined,104
Undetermined,Bermuda,Undetermined,1
Undetermined,Canada,Undetermined,562
Undetermined,Cayman Islands,Undetermined,18
Undetermined,China,Undetermined,944
Undetermined,Cook Islands,Undetermined,4
Undetermined,Costa Rica,Undetermined,8
Undetermined,Croatia,Undetermined,17
Undetermined,Curaçao,Undetermined,34
Undetermined,Cyprus,Undetermined,2621
Undetermined,Czech Republic,Undetermined,139
Undetermined,Estonia,Undetermined,1
Undetermined,Fiji,Undetermined,2
Undetermined,Finland,Undetermined,1
Undetermined,France,Undetermined,19
Undetermined,Georgia,Undetermined,1
Undetermined,Germany,Undetermined,23
Undetermined,Gibraltar,Undetermined,74
Undetermined,Greece,Undetermined,1
Undetermined,Grenada,Undetermined,3
Undetermined,Guernsey,Undetermined,4
Undetermined,Hong Kong,Undetermined,12157
Undetermined,Indonesia,Undetermined,9
Undetermined,Ireland,Undetermined,1613
Undetermined,Isle of Man,Undetermined,1
Undetermined,Israel,Undetermined,21
Undetermined,Italy,Undetermined,1
Undetermined,Japan,Undetermined,3
Undetermined,Jersey,Undetermined,228
Undetermined,Kazakhstan,Undetermined,4
Undetermined,"Korea, Democratic People's Republic of",Undetermined,5
Undetermined,Kuwait,Undetermined,3
Undetermined,Latvia,Undetermined,1561
Undetermined,Liechtenstein,Undetermined,4
Undetermined,Luxembourg,Undetermined,37
Undetermined,Malaysia,Undetermined,9
Undetermined,Malta,Undetermined,38
Undetermined,Mauritius,Undetermined,51
Undetermined,Mexico,Undetermined,3
Undetermined,Netherlands,Undetermined,71
Undetermined,New Zealand,Undetermined,12
Undetermined,Norway,Undetermined,3
Undetermined,Not identified,Undetermined,25359
Undetermined,Panama,Undetermined,2295
Undetermined,Philippines,Undetermined,5
Undetermined,Poland,Undetermined,3
Undetermined,Portugal,Undetermined,3
Undetermined,Puerto Rico,Undetermined,2
Undetermined,Romania,Undetermined,1
Undetermined,Russian Federation,Undetermined,7317
Undetermined,Saint Kitts and Nevis,Undetermined,203
Undetermined,Samoa,Undetermined,3
Undetermined,Serbia,Undetermined,9
Undetermined,Seychelles,Undetermined,365
Undetermined,Singapore,Undetermined,577
Undetermined,South Africa,Undetermined,11
Undetermined,Spain,Undetermined,4
Undetermined,Sweden,Undetermined,29
Undetermined,Switzerland,Undetermined,164
Undetermined,Syrian Arab Republic,Undetermined,1
Undetermined,"Taiwan, Province of China",Undetermined,4
Undetermined,Thailand,Undetermined,37
Undetermined,Turks and Caicos Islands,Undetermined,29
Undetermined,Ukraine,Undetermined,195
Undetermined,United Arab Emirates,Undetermined,501
Undetermined,United Kingdom,Undetermined,8248
Undetermined,United States,Undetermined,3163
Undetermined,Vanuatu,Undetermined,25
Undetermined,"Venezuela, Bolivarian Republic of",Undetermined,1
Undetermined,Viet Nam,Undetermined,1
Undetermined,"Virgin Islands, British",Undetermined,29837
Undetermined,"Virgin Islands, U.S.",Undetermined,8
United Kingdom,American Samoa,United Kingdom,1
United Kingdom,Andorra,United Kingdom,1
United Kingdom,Bahamas,United Kingdom,4
United Kingdom,Brazil,United Kingdom,6
United Kingdom,Colombia,United Kingdom,51
United Kingdom,Costa Rica,United Kingdom,1
United Kingdom,Ecuador,United Kingdom,7
United Kingdom,Isle of Man,United Kingdom,2
United Kingdom,Jersey,United Kingdom,6
United Kingdom,Luxembourg,United Kingdom,1
United Kingdom,Mexico,United Kingdom,1
United Kingdom,Panama,United Kingdom,5
United Kingdom,Singapore,United Kingdom,1
United Kingdom,Switzerland,United Kingdom,2
United Kingdom,United Kingdom,United Kingdom,55
United Kingdom,United States,United Kingdom,5
United Kingdom,Uruguay,United Kingdom,3
United States Of America,United States,United States Of America,2
Uruguay,Andorra,Uruguay,15
Uruguay,Bahamas,Uruguay,2
Uruguay,Brazil,Uruguay,1
Uruguay,Colombia,Uruguay,1
Uruguay,Ecuador,Uruguay,2
Uruguay,Guernsey,Uruguay,1
Uruguay,Isle of Man,Uruguay,1
Uruguay,Luxembourg,Uruguay,1
Uruguay,Panama,Uruguay,7
Uruguay,Russian Federation,Uruguay,2
Uruguay,Spain,Uruguay,3
Uruguay,Switzerland,Uruguay,2
Uruguay,Uruguay,Uruguay,12
Uruguay,"Venezuela, Bolivarian Republic of",Uruguay,2
Vanuatu,Singapore,Vanuatu,1
Vanuatu,Vanuatu,Vanuatu,5
Wyoming,Bahamas,Wyoming,15
Wyoming,Belize,Wyoming,1
Wyoming,Brazil,Wyoming,4
Wyoming,Chile,Wyoming,1
Wyoming,Jersey,Wyoming,1
Wyoming,Luxembourg,Wyoming,1
Wyoming,Panama,Wyoming,5
Wyoming,Poland,Wyoming,1
Wyoming,United Kingdom,Wyoming,1
Wyoming,Uruguay,Wyoming,7
